sku,name,category,price,description,image_url

IP15,Apple iPhone 15,Mobile,79999,"The latest iPhone with A16 Bionic chip, Dynamic Island, and an advanced 48MP camera system.",apple_iphone_15.jpg
SGS24,Samsung Galaxy S24,Mobile,74999,"High-end Android smartphone with AI-enhanced camera, 120Hz AMOLED display, and long-lasting battery.",samsung_galaxy_s24.jpg
PIX8P,Google Pixel 8 Pro,Mobile,85999,"Flagship Android with Google Tensor G3 chip, advanced AI features, and stunning photo performance.",google_pixel_8_pro.jpg
OP12R,OnePlus 12R,Mobile,45999,"Performance-focused phone with Snapdragon 8 Gen 2, fast 120W charging, and premium AMOLED display.",oneplus_12r.jpg
RGT5,Realme GT 5,Mobile,37999,"Powerful mid-range phone offering high refresh rate display and gaming optimization.",realme_gt_5.jpg
XM14P,Xiaomi 14 Pro,Mobile,68999,"Premium Android flagship with Leica-powered camera and 120W HyperCharge technology.",xiaomi_14_pro.jpg
IQN9P,iQOO Neo 9 Pro,Mobile,36999,"Performance beast for gamers featuring Snapdragon 8 Gen 2 and 144Hz display.",iqoo_neo_9_pro.jpg
NP2,Nothing Phone 2,Mobile,44999,"Unique transparent design smartphone with Glyph Interface and Snapdragon 8+ Gen 1.",nothing_phone_2.jpg
ROG8,Asus ROG Phone 8,Mobile,94999,"Gaming-centric phone with AMOLED display and monster performance for gamers.",asus_rog_phone_8.jpg
OPFX6,Oppo Find X6 Pro,Mobile,72999,"Premium design smartphone with advanced camera and bright 2K display.",oppo_find_x6_pro.jpg
VIX100,Vivo X100 Pro,Mobile,88999,"Flagship phone with Zeiss-tuned triple camera and powerful Dimensity processor.",vivo_x100_pro.jpg
MOT40,Motorola Edge 40,Mobile,29999,"Stylish lightweight smartphone with curved OLED display and 68W fast charging.",motorola_edge_40.jpg
INFZU,Infinix Zero Ultra,Mobile,25999,"Affordable flagship with 200MP camera and 180W super fast charging.",infinix_zero_ultra.jpg
POF6,Poco F6,Mobile,28999,"Performance-oriented midrange with Snapdragon 8s Gen 3 and AMOLED display.",poco_f6.jpg
